Freq	Wavenum	WaveR		
1757.58	1000	100	100	0
1761.19	1000	100	100	0
1764.81	1000	100	100	0
1768.43	1000	100	100	0
1772.04	1000	100	100	0
1775.66	1000	100	100	0
1779.28	1000	100	100	0
1782.89	1000	100	100	0
1786.51	1000	100	100	0
1790.13	1000	100	100	0
1793.74	1000	100	100	0
1797.36	1000	100	100	0
1800.98	1000	100	100	0
1804.59	1000	100	100	0
1808.21	1000	100	100	0
1811.83	1000	100	100	0
1815.44	1000	100	100	0
1819.06	1000	100	100	0
1822.68	1000	100	100	0
1826.3	1000	100	100	0
1829.91	1000	100	100	0
1833.53	1000	100	100	0
1837.15	1000	100	100	0
1840.76	1000	100	100	0
1844.38	1000	100	100	0
1848	1000	100	100	0
1851.61	1000	100	100	0
1855.23	1000	100	100	0
1858.85	1000	100	100	0
1862.46	1000	100	100	0
1866.08	1000	100	100	0
1869.7	1000	100	100	0
1873.31	1000	100	100	0
1876.93	1000	100	100	0
1880.55	1000	100	100	0
1884.16	1000	100	100	0
1887.78	1000	100	100	0
1891.4	1000	100	100	0
1895.01	1000	100	100	0
1898.63	1000	100	100	0
1902.25	1000	100	100	0
1905.87	1000	100	100	0
1909.48	1000	100	100	0
1913.1	1000	100	100	0
1916.72	1000	100	100	0
1920.33	1000	100	100	0
1923.95	1000	100	100	0
1927.57	1000	100	100	0
1931.18	1000	100	100	0
1934.8	1000	100	100	0
1938.42	1000	100	100	0
1942.03	1000	100	100	0
1945.65	1000	100	100	0
1949.27	1000	100	100	0
1952.88	1000	100	100	0
1956.5	1000	100	100	0
1960.12	1000	100	100	0
1963.73	1000	100	100	0
1967.35	1000	100	100	0
1970.97	1000	100	100	0
1974.58	1000	100	100	0
1978.2	1000	100	100	0
1981.82	1000	100	100	0
1985.43	1000	100	100	0
1989.05	1000	100	100	0
1992.67	1000	100	100	0
1996.29	1000	100	100	0
1999.9	1000	100	100	0
2003.52	1000	100	100	0
2007.14	1000	100	100	0
2010.75	1000	100	100	0
2014.37	1000	100	100	0
2017.99	1000	100	100	0
2021.6	1000	100	100	0
2025.22	1000	100	100	0
2028.84	1000	100	100	0
2032.45	1000	100	100	0
2036.07	1000	100	100	0
2039.69	1000	100	100	0
2043.3	1000	100	100	0
2046.92	1000	100	100	0
2050.54	1000	100	100	0
2054.15	1000	100	100	0
2057.77	1000	100	100	0
2061.39	1000	100	100	0
2065	1000	100	100	0
2068.62	1000	100	100	0
2072.24	1000	100	100	0
2075.86	1000	100	100	0
2079.47	1000	100	100	0
2083.09	1000	100	100	0
2086.71	1000	100	100	0
2090.32	1000	100	100	0
2093.94	1000	100	100	0
2097.56	1000	100	100	0
2101.17	1000	100	100	0
2104.79	1000	100	100	0
2108.41	1000	100	100	0
2112.02	1000	100	100	0
2115.64	1000	100	100	0
2119.26	1000	100	100	0
2122.87	1000	100	100	0
2126.49	1000	100	100	0
2130.11	1000	100	100	0
2133.72	1000	100	100	0
2137.34	1000	100	100	0
2140.96	1000	100	100	0
2144.57	1000	100	100	0
2148.19	1000	100	100	0
2151.81	1000	100	100	0
